County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Washington,150108,Center,Kinder Haven C.C.C.,Williamsport,21795,Yes,1,Active,1,3,Apr 22 2022,Apr 22 2023,Mar 20 2015,,,
Montgomery,15-0100,Prekindergarten,Clopper Mill Elementary,Germantown,20874,Yes,5,Active,5,1,Sep 08 2022,Sep 08 2023,Dec 11 2015,,,MSDE
Baltimore,257600,Family Childcare,Yvette Matthews,Baltimore,21207,Yes,1,Active,1,2,Oct 12 2022,Oct 12 2023,May 29 2015,,,
Montgomery,150041,Family Childcare,Eliane Brannum,Clarksburg,20871,Yes,1,Active,1,2,Dec 29 2022,Dec 29 2023,Apr 03 2015,,,
Montgomery,150023,Family Childcare,Ubah Mohamed,Silver Spring,20906,Yes,3,Active,3,2,May 30 2022,May 30 2023,May 13 2016,,,No Additional Staff
Baltimore,150016,Center,Celebree Learning Centers- Lutherville,Lutherville,21093,Yes,3,Active,3,3,Apr 06 2022,Apr 06 2023,Mar 06 2015,,,
Montgomery,150014,Large Family Childcare,Toni Brown,Germantown,20874,Yes,3,Active,3,2,Apr 27 2022,Apr 27 2023,Dec 11 2015,,,No Additional Staff
Baltimore,150012,LOC,Beyond the Bell @ Immaculate Heart of Mary,Baltimore,21286,Yes,5,Active,5,3,Dec 13 2022,Dec 13 2023,Oct 21 2016,,,AdvancED
Anne Arundel,150009,Center,Kiddie Academy of  Arnold,Arnold,21012,Yes,1,Active,1,3,Oct 10 2022,Oct 10 2023,Jun 12 2015,Accredited Program 2023-03-01,National Association for the Education of Young Children (NAEYC) 2023-03-01,National Association for the Education of Young Children (NAEYC)
Baltimore City,150007,Family Childcare,Theresa Pryor,Baltimore,21218,Yes,1,Active,1,2,Aug 14 2022,Aug 14 2023,Nov 26 2014,,,
Baltimore,150004,Family Childcare,Renee Malone,Parkville,21234,Yes,1,Active,1,2,Oct 10 2022,Oct 10 2023,Jan 17 2015,,,
Baltimore,1488,Family Childcare,Theresa Gant,Baltimore,21220,Yes,0,Inactive,1,2,Sep 18 2020,Sep 07 2022,Jul 28 2014,,,
Baltimore,1462,Family Childcare,Rose Mims,Baltimore,21207,Yes,0,Inactive,1,2,Jan 13 2020,Dec 01 2022,Nov 10 2017,,,
Baltimore,143722,Family Childcare,Patricia Craig,Baltimore,21228,Yes,1,Active,1,2,Mar 08 2022,Mar 08 2023,Jun 12 2015,,,
Baltimore,143324,Family Childcare,Teresa Turner,Baltimore,21237,Yes,5,Active,5,2,Mar 17 2022,Mar 17 2023,Dec 04 2012,,,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-01-31
Howard,143131,Center,Dunloggin Middle SAS,Ellicott City,21042,Yes,2,Active,2,2,Jan 27 2022,Jan 27 2023,Nov 08 2013,,,
Baltimore City,14309,Family Childcare,Faith Alexander,Baltimore,21212,Yes,1,Active,1,2,Apr 14 2022,Apr 14 2023,Feb 11 2014,,,
Somerset,143029,Family Childcare,Bonnie Wells,Princess Anne,21853,Yes,1,Active,1,2,Aug 04 2022,Aug 04 2023,Aug 23 2014,,,
Cecil,142983,Family Childcare,Cynthia Kelly,Perryville,21903,Yes,1,Active,1,2,Sep 09 2022,Sep 09 2023,Oct 28 2016,,,No Additional Staff
Harford,142980,Family Childcare,Jennifer Amos,Edgewood,21040,Yes,1,Active,1,2,Jun 01 2022,Jun 01 2023,Jul 09 2014,,,No Additional Staff
Charles,142909,Family Childcare,Carolyn Hunter,Waldorf,20603,Yes,2,Active,2,2,Nov 17 2022,Nov 17 2023,Jan 17 2015,,,No Additional Staff
Montgomery,142876,Family Childcare,Mary Jane Aquino,Silver Spring,20906,Yes,2,Active,2,2,May 24 2022,May 24 2023,Feb 10 2017,,,No Additional Staff
Frederick,142752,Family Childcare,Michele Michael,Myersville,21773,Yes,3,Active,3,2,Mar 28 2022,Mar 28 2023,Nov 22 2013,,,No Additional Staff
Baltimore City,142742,Center,Gan Rutie,Baltimore,21215,Yes,1,Active,1,3,Jun 15 2022,Jun 15 2023,Jul 28 2014,,,
Prince George's,142727,Family Childcare,Kharil Edward-Joseph,Upper Marlboro,20774,Yes,1,Active,1,2,Jul 11 2022,Jul 11 2023,Mar 28 2014,,,No Additional Staff
Prince George's,142621,Center,Kreayola Kids B/Aftercare,Suitland,20746,Yes,1,Active,1,3,Apr 04 2022,Apr 04 2023,May 13 2015,,,
Montgomery,255508,Large Family Childcare,Sonia Rojas,Potomac,20854,Yes,1,Active,3,2,Jun 17 2022,Jun 17 2023,Nov 27 2012,,,
Baltimore,142533,Center,Twice As Nice Daycare,Edgemere,21219,Yes,1,Active,1,3,Oct 05 2022,Oct 05 2023,Nov 08 2013,,,
Frederick,142526,Family Childcare,Michele Fruge'-Brown,Frederick,21703,Yes,1,Active,5,2,Nov 03 2022,Nov 03 2023,Nov 27 2012,,,No Additional Staff
Calvert,142458,Family Childcare,Denise Johns,Lusby,20657,Yes,1,Active,1,2,Aug 14 2022,Aug 14 2023,Feb 10 2014,,,No Additional Staff
Harford,142372,Family Childcare,Gloria Pollard,Aberdeen,21001,Yes,1,Active,1,2,Feb 07 2022,Feb 07 2023,Jul 14 2014,,,
Baltimore,142279,Family Childcare,Angela Jones-Coleman,Owings Mills,21117,Yes,5,Active,5,2,Nov 22 2022,Nov 22 2023,Dec 07 2012,,,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-11-01
Harford,142170,Family Childcare,Teresha Sutton,Edgewood,21040,Yes,5,Active,5,2,Dec 06 2022,Dec 06 2023,Sep 10 2013,,National Association for Family Child Care (NAFCC) 2025-11-01,NAFCC - National Association for Family Child Care 2025-11-01 | No Additional Staff
Calvert,142150,Center,Kid's Campus Early Learning Center,Dunkirk,20754,Yes,1,Active,1,3,May 27 2022,May 27 2023,Dec 03 2012,Quality Business Practices  | Health and Wellness,,MSDE
Baltimore City,256040,Family Childcare,Troye Turnage,Baltimore,21206,Yes,2,Active,2,2,May 23 2022,May 23 2023,Mar 20 2015,,,
Prince George's,142070,Family Childcare,Ura Daley,Berwyn Heights,20740,Yes,3,Active,3,2,Jan 12 2022,Jan 12 2023,May 29 2015,,,No Additional Staff
Baltimore,142054,Family Childcare,Shelia Burley,Baltimore,21244,Yes,1,Active,1,2,Nov 03 2022,Nov 03 2023,Jul 14 2014,,,No Additional Staff
Frederick,142036,Family Childcare,Kimberly Waddy,Frederick,21702,Yes,1,Active,1,2,Aug 14 2022,Aug 14 2023,Oct 20 2014,,,
Baltimore City,142031,Family Childcare,Sonja Tuck,Baltimore,21229,Yes,3,Active,3,2,Feb 16 2022,Feb 16 2023,Nov 22 2013,Accredited Program 2025-06-30,,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-04-19
Baltimore,142029,Family Childcare,Laneal Hollis-Adeyemo,Dundalk,21222,Yes,5,Active,5,2,Jun 13 2022,Jun 13 2023,Sep 06 2013,Health and Wellness,National Association for Family Child Care (NAFCC) 2023-01-31,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-01-31
Baltimore,142021,Center,Reaching Our Communities' Kids,Baltimore,21215,Yes,1,Active,1,2,Jun 30 2022,Jun 30 2023,Oct 15 2015,,,
Washington,141985,Family Childcare,Norma Jean Aravanis,Hagerstown,21742,Yes,1,Active,1,2,Jul 22 2022,Jul 22 2023,Nov 27 2012,,,No Additional Staff
Montgomery,141889,Center,Little One's Day Care,Clarksburg,20871,Yes,1,Active,1,3,Dec 09 2022,Dec 09 2023,Jun 26 2015,,,
Baltimore,141842,Family Childcare,Lakisha Fitzgerald,Baltimore,21244,Yes,1,Active,1,2,Oct 11 2022,Oct 11 2023,Apr 25 2014,,,
Dorchester,141816,Family Childcare,Kim Robbins,Cambridge,21613,Yes,3,Active,3,2,May 02 2022,May 02 2023,Jan 24 2014,,,No Additional Staff
Montgomery,141758,Center,Sugar Plums Child Development Center,Rockville,20852,Yes,3,Active,3,3,May 19 2022,May 19 2023,Aug 09 2013,Accredited Program,,MSDE
Baltimore City,141714,Center,Huber Memorial Child Development,Baltimore,21213,Yes,1,Active,1,3,Feb 28 2022,Feb 28 2023,Jul 09 2014,,,
Baltimore,141653,Center,Celebree Learning Center Cockeysville,Cockeysville,21030,Yes,3,Active,3,3,Aug 19 2022,Aug 19 2023,Mar 06 2015,,,
Charles,141598,Center,CCDCS/AlphaBEST@Diggs,Waldorf,20603,Yes,1,Active,1,2,Sep 21 2022,Sep 21 2023,Mar 11 2014,,,
Howard,141588,Center,Dayton Oaks Extended Recreation Program,Dayton,21036,Yes,1,Active,1,2,Jul 26 2022,Jul 26 2023,Mar 11 2014,,,
Montgomery,141581,Center,RDCA/Sargent Shriver CDC,Silver Spring,20906,Yes,4,Active,4,3,Feb 23 2022,Feb 23 2023,Nov 22 2013,,,MSDE
Montgomery,141576,Center,KidsCo Junior at Rockwell Elementary School,Damascus,20872,Yes,3,Active,3,3,Jan 18 2022,Jan 18 2023,Mar 06 2015,,Maryland Accreditation (MSDE) 2023-01-31,MSDE
Montgomery,141573,Center,KidsCo at Brooke Grove Elementary School,Olney,20832,Yes,1,Active,1,2,Jun 23 2022,Jun 23 2023,Mar 06 2015,,,
Montgomery,141571,Center,KidsCo at Little Bennett Elementary School,Clarksburg,20871,Yes,3,Active,3,2,Dec 05 2022,Dec 05 2023,Mar 06 2015,,,
Montgomery,141569,Center,Bar-T at Great Seneca Creek Elementary School,Germantown,20874,Yes,3,Active,3,2,May 12 2022,May 12 2023,Jul 09 2014,,,
Baltimore City,141527,Family Childcare,Charlotte Boyd,Baltimore,21206,Yes,1,Active,1,2,Feb 22 2022,Feb 22 2023,Nov 26 2014,,,
Frederick,141439,Center,Stepping Stone  Middletown Primary Center,Middletown,21769,Yes,2,Active,2,2,Dec 22 2022,Dec 22 2023,Nov 22 2013,,,
Howard,141398,Family Childcare,Mahin Ghahhari,Columbia,21045,Yes,1,Active,1,2,Feb 15 2022,Feb 15 2023,Sep 18 2015,,,No Additional Staff
Baltimore,141361,Family Childcare,Kim Green,Randallstown,21133,Yes,1,Active,1,2,Oct 05 2022,Oct 05 2023,Dec 09 2014,,,
Cecil,141340,Center,Nancy's Christian Learning Center,Elkton,21921,Yes,3,Active,3,3,Feb 03 2022,Feb 03 2023,Sep 28 2013,,,
Prince George's,141327,Center,Hopes And Dreams Infant/Toddler Center,Riverdale,20737,Yes,1,Active,1,3,Sep 01 2022,Sep 01 2023,Jan 17 2015,,,
Wicomico,141284,Center,Wor-Wic Community  College Child Development Center,Salisbury,21804,Yes,5,Active,5,3,Sep 08 2022,Sep 08 2023,Dec 04 2012,Quality Business Practices  | Accredited Program,,MSDE
Cecil,141217,Family Childcare,Rita Willis,Port Deposit,21904,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Oct 20 2014,,,No Additional Staff
Queen Anne's,140988,Family Childcare,Leola Trusso,Stevensville,21666,Yes,1,Active,1,2,Aug 11 2022,Aug 11 2023,Mar 20 2015,,,No Additional Staff
Allegany,140864,LOC,Calvary Christian Academy,Cresaptown,21502,Yes,1,Active,1,3,Aug 19 2022,Aug 19 2023,Oct 04 2014,,,
Calvert,256920,Family Childcare,Natasha Robey,Lusby,20657,Yes,3,Active,3,2,Jul 06 2022,Jul 06 2023,Nov 27 2012,Health and Wellness,,No Additional Staff
Baltimore City,140767,Center,"Family Rainbow Learning Center, Inc.",Gwynn Oak,21207,Yes,1,Active,1,3,Jul 05 2022,Jul 05 2023,Apr 17 2015,,,
Baltimore City,140764,Family Childcare,Teresa Holmes,Baltimore,21216,Yes,1,Active,1,2,Oct 17 2022,Oct 17 2023,Mar 20 2015,,,
Montgomery,140666,Family Childcare,Brenda Duffin,Gaithersburg,20878,Yes,1,Active,1,2,Sep 08 2022,Sep 08 2023,Oct 04 2018,,,
Montgomery,140630,Center,Bright Eyes Child Care Center,Gaithersburg,20879,Yes,3,Active,3,3,Feb 02 2022,Feb 02 2023,Jul 03 2013,,,MSDE
Saint Mary's,258546,Family Childcare,Juanita Thornton,Hollywood,20636,Yes,1,Active,1,2,Jun 28 2022,Jun 28 2023,Aug 23 2014,,,
Baltimore City,140419,Family Childcare,Adrianne Crawford,Baltimore,21218,Yes,1,Active,1,2,Jan 10 2022,Jan 10 2023,Nov 15 2013,,,
Kent,14-0403,Prekindergarten,H. H. Garnett Elementary,Chestertown,21620,Yes,5,Active,5,1,Jul 21 2022,Jul 21 2023,Sep 18 2015,,,MSDE  | Maryland Accreditation (MSDE) 2023-04-30
Charles,140379,Center,Jelly Beans Child Development Center II,Waldorf,20602,Yes,3,Active,3,3,Aug 24 2022,Aug 24 2023,Dec 02 2013,,,
Kent,140352,Family Childcare,Sherry Williams,Chestertown,21620,Yes,1,Active,1,2,Mar 23 2022,Mar 23 2023,Dec 16 2013,,,
Montgomery,140316,Center,Bobbie's Learning DCC,Boyds,20841,Yes,1,Active,1,3,Jun 17 2022,Jun 17 2023,Jul 09 2014,,,NAFCC 2023-01-31
Baltimore City,140200,Center,B & N Day Care Center,Baltimore,21207,Yes,3,Active,3,3,May 27 2022,May 27 2023,Jul 26 2013,,,
Howard,140104,Center,STARS Learning Center,Laurel,20723,Yes,1,Active,1,3,Aug 17 2022,Aug 17 2023,Jul 28 2014,,,
Baltimore,139928,Family Childcare,Lynn Shirkey,Baltimore,21220,Yes,1,Active,1,2,Aug 31 2022,Aug 31 2023,Jun 26 2015,,,
Montgomery,139927,Center,Bar T @ Kensington Parkwood,Kensington,20895,Yes,2,Active,2,3,May 12 2022,May 12 2023,Mar 05 2016,,,
Harford,139717,Family Childcare,Patricia Nelson,Edgewood,21040,Yes,1,Active,1,2,Nov 17 2022,Nov 17 2023,Jul 28 2014,,,No Additional Staff
Charles,139632,Family Childcare,Notosha Duckett,Waldorf,20602,Yes,3,Active,3,2,Oct 11 2022,Oct 11 2023,Jul 01 2013,,,No Additional Staff
Wicomico,139558,Family Childcare,Shemeka Smith,Hebron,21830,Yes,1,Active,1,2,Jul 29 2022,Jul 29 2023,Nov 15 2013,,,
Howard,139481,Family Childcare,Marakie Yilma,Columbia,21044,Yes,1,Active,1,2,Jul 25 2022,Jul 25 2023,Oct 03 2014,,,
Montgomery,139461,Family Childcare,Olga Salinas-Blanco,Silver Spring,20906,Yes,1,Active,1,2,May 06 2022,May 06 2023,Feb 06 2015,,,
Montgomery,139378,Family Childcare,Mojdeh Zahed,Montgomery Village,20886,Yes,1,Active,1,2,Jul 19 2022,Jul 19 2023,Nov 26 2014,,,No Additional Staff
Prince George's,139370,Family Childcare,Barbara Rowland,Upper Marlboro,20774,Yes,1,Active,1,2,Sep 09 2022,Sep 09 2023,Mar 24 2017,,,
Montgomery,139315,Family Childcare,Lorena Jimenez,Silver Spring,20901,Yes,1,Active,1,2,Dec 06 2022,Dec 06 2023,Oct 21 2016,,,
Baltimore City,139270,Family Childcare,Monica Becoat,Baltimore,21207,Yes,1,Active,1,2,Jun 09 2022,Jun 09 2023,Jun 12 2015,,,
Calvert,139255,Family Childcare,Kathy Bevard,Huntingtown,20639,Yes,5,Active,5,2,Sep 08 2022,Sep 08 2023,Sep 10 2013,Health and Wellness,,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-07-01
Montgomery,139217,Center,Muslim Community School,Potomac,20854,Yes,1,Active,1,3,Oct 18 2022,Oct 18 2023,Jul 10 2015,,,
Baltimore City,139108,Center,Lafaye & Lisa Shining Stars Child Care Center,Baltimore,21223,Yes,1,Active,1,3,Jun 08 2022,Jun 08 2023,Nov 27 2012,,,
Frederick,257267,Family Childcare,Karishma Narang,Frederick,21701,Yes,1,Active,1,2,Sep 01 2022,Sep 01 2023,May 12 2014,,,
Prince George's,138966,Center,Holy Trinity Christian Day School,Laurel,20707,Yes,2,Active,2,3,Dec 07 2022,Dec 07 2023,Dec 27 2013,,,
Cecil,138962,Family Childcare,Antoinette Gatto,Elkton,21921,Yes,1,Active,1,2,Aug 24 2022,Aug 24 2023,Mar 11 2014,,,
Carroll,138823,Center,YMCA  -Chipmunks Learning Program,Finksburg,21048,Yes,4,Active,4,3,Aug 04 2022,Aug 04 2023,Sep 28 2013,Accredited Program 2025-05-31,,MSDE
Montgomery,138821,Family Childcare,Asma Akhtar,Germantown,20874,Yes,5,Active,5,2,Nov 08 2022,Nov 08 2023,Nov 27 2012,,National Association for Family Child Care (NAFCC) 2023-03-01,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2023-03-01
Montgomery,138812,Family Childcare,Elsa Perea,Montgomery Village,20886,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Oct 03 2014,,,No Additional Staff
Washington,138783,Center,Ritchey's Totlot  LLC,Hagerstown,21742,Yes,5,Active,5,3,May 31 2022,May 31 2023,Sep 10 2013,,,MSDE 2025-05-31
Baltimore City,138680,Family Childcare,Sabrina Hopkins,Baltimore,21229,Yes,3,Active,3,2,Jun 16 2022,Jun 16 2023,Jul 03 2013,,,No Additional Staff
Prince George's,138647,Family Childcare,Betcelka Cox,Suitland,20746,Yes,1,Active,1,2,Jun 14 2022,Jun 14 2023,Jan 10 2014,,,No Additional Staff
Baltimore City,138642,Family Childcare,Danielle Moye,Baltimore,21234,Yes,3,Active,3,2,Jan 24 2022,Jan 24 2023,May 13 2015,,,No Additional Staff
Prince George's,255844,Center,Kiddie Academy of Laurel,Laurel,20707,Yes,1,Active,1,3,Feb 07 2022,Feb 07 2023,Jul 09 2014,,,
Baltimore,138499,Family Childcare,Maryland Hinds-Paylor,Windsor Mill,21244,Yes,1,Active,1,2,Feb 22 2022,Feb 22 2023,Mar 06 2015,,,No Additional Staff
Cecil,138468,Family Childcare,Heather Walklett,Elkton,21921,Yes,1,Active,1,2,Jun 21 2022,Jun 21 2023,Mar 11 2014,,,
Cecil,255036,Center,Trinity U.M.C Preschool,Chesapeake City,21915,Yes,3,Active,3,3,Jul 22 2022,Jul 22 2023,Sep 16 2016,,,
Montgomery,138365,Center,Toddler's Plus Child Care,Germantown,20876,Yes,1,Active,1,3,Dec 28 2022,Dec 28 2023,Jun 12 2015,,,
Prince George's,138356,Family Childcare,Shenna Reed,Suitland,20746,Yes,1,Active,1,2,Nov 03 2022,Nov 03 2023,Apr 17 2015,,,No Additional Staff
Baltimore,138334,Center,Kid's Unlimited Care,Baltimore,21244,Yes,3,Active,3,3,Sep 22 2022,Sep 22 2023,Sep 06 2013,,,
Montgomery,138286,Family Childcare,Angelica Prada,Germantown,20876,Yes,0,Inactive,1,2,Jul 30 2019,Sep 07 2022,Jun 12 2015,,,
Montgomery,138248,Family Childcare,Frances Paul,Silver Spring,20903,Yes,2,Active,2,2,Jan 27 2022,Jan 27 2023,Dec 03 2012,,,No Additional Staff
Baltimore City,138222,Family Childcare,Vernice Tune,Baltimore,21230,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Jul 01 2013,,,No Additional Staff
Calvert,138190,Family Childcare,Barbara Gray,Owings,20736,Yes,1,Active,1,2,Jun 27 2022,Jun 27 2023,Nov 08 2013,,,No Additional Staff
Montgomery,138161,Family Childcare,Josefina Rios,Silver Spring,20905,Yes,1,Active,1,2,Jun 17 2022,Jun 17 2023,Jun 26 2015,,,NAFCC - National Association for Family Child Care 2025-06-30 | No Additional Staff
Carroll,138112,Center,Crossroads Christian Preschool,Westminster,21157,Yes,2,Active,2,3,Jun 23 2022,Jun 23 2023,Jul 28 2014,,,
Montgomery,138003,Family Childcare,Sonia Granados,Damascus,20872,Yes,2,Active,2,2,Jan 13 2022,Jan 13 2023,Oct 24 2013,,,No Additional Staff
Baltimore,137961,Family Childcare,Towanda Wiggins-Carter,Windsor Mill,21244,Yes,5,Active,5,2,Dec 01 2022,Dec 01 2023,Aug 22 2013,Accredited Program 2025-11-01,,No Additional Staff  | NAFCC - National Association for Family Child Care 2025-11-01
Carroll,137865,Center,ACC Inc. Head Start,Westminster,21157,Yes,5,Active,5,3,Nov 30 2022,Nov 30 2023,Nov 27 2012,,,MSDE
Baltimore City,137862,Family Childcare,Cassandra Gaskins,Baltimore,21206,Yes,1,Active,1,2,Jul 13 2022,Jul 13 2023,Jun 26 2015,,,No Additional Staff
Baltimore City,137716,Family Childcare,Shantrice Blanchard,Baltimore,21229,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Jul 01 2013,Health and Wellness  | Quality Business Practices  | Eco-Friendly Program,,No Additional Staff
Carroll,137604,Center,Celebree  Learning Center at Tech Court,Westminster,21157,Yes,5,Active,5,3,Apr 27 2022,Apr 27 2023,Mar 06 2015,,,
Baltimore,137459,Family Childcare,Hilda Murphy,Baltimore,21227,Yes,1,Active,1,2,Nov 17 2022,Nov 17 2023,Oct 11 2013,,Maryland Accreditation (MSDE),No Additional Staff
Wicomico,137456,Family Childcare,Shari Parsons,Salisbury,21804,Yes,1,Active,1,2,May 04 2022,May 04 2023,Dec 09 2014,,,
Baltimore,137416,Center,The Joy of Learning Center,Baltimore,21207,Yes,3,Active,3,3,Jul 15 2022,Jul 15 2023,Oct 11 2013,,,
Anne Arundel,137269,Center,The Goddard School at Hanover,Hanover,21076,Yes,1,Active,1,3,Nov 30 2022,Nov 30 2023,Nov 13 2015,,,MSDE
Wicomico,137208,Center,Mitchell's Martial Arts Child Care Program,Salisbury,21804,Yes,1,Active,1,3,Sep 01 2022,Sep 01 2023,Jan 10 2014,Accredited Program,,MSDE
Anne Arundel,137193,Family Childcare,Tammy Prince,Glen Burnie,21061,Yes,1,Active,1,2,Dec 16 2022,Dec 16 2023,Dec 27 2013,,,No Additional Staff
Prince George's,137127,Family Childcare,Katrina Savoy,Hyattsville,20784,Yes,1,Active,1,2,Sep 01 2022,Sep 01 2023,Oct 03 2014,,,No Additional Staff
Baltimore,136997,Family Childcare,Anna Yasinova,Baltimore,21209,Yes,1,Active,1,2,May 02 2022,May 02 2023,May 29 2015,,,
Charles,136975,Family Childcare,Rebekah Brown,Indian Head,20640,Yes,1,Active,1,2,Nov 18 2022,Nov 18 2023,Oct 24 2013,,,
Queen Anne's,136930,Family Childcare,Julia Hall,Chestertown,21620,Yes,2,Active,2,2,Apr 21 2022,Apr 21 2023,Sep 28 2013,,,No Additional Staff
Prince George's,136908,Center,"Just 4 Kids CCC, Inc.",Oxon Hill,20745,Yes,1,Active,1,3,Oct 06 2022,Oct 06 2023,Dec 16 2013,,,
Calvert,257888,Family Childcare,LaShawn Brawley,Lusby,20657,Yes,1,Active,1,2,Mar 21 2022,Mar 21 2023,Feb 06 2015,,,No Additional Staff
Prince George's,136800,Family Childcare,Rene'e Gilliam,Hyattsville,20784,Yes,2,Active,2,2,Nov 01 2022,Nov 01 2023,Apr 15 2016,,,No Additional Staff
Montgomery,136621,Family Childcare,Delsis Majano,Takoma Park,20912,Yes,1,Active,1,2,Sep 30 2022,Sep 30 2023,Aug 22 2013,,,NAFCC  | No Additional Staff
Howard,136576,Family Childcare,Lisa Stewart-Whiteman,Columbia,21045,Yes,1,Active,1,2,Oct 10 2022,Oct 10 2023,Jun 12 2015,,,
Howard,136535,Family Childcare,Mildred Mattocks,Columbia,21045,Yes,3,Active,3,2,Apr 22 2022,Apr 22 2023,Jul 09 2014,,,No Additional Staff
Baltimore City,136404,Family Childcare,Sheirah Diggs,Baltimore,21213,Yes,1,Active,1,2,Jul 29 2022,Jul 29 2023,Nov 22 2013,,,
Prince George's,136381,Center,Danbury Before and After Care Center,Forestville,20747,Yes,2,Active,2,3,Jun 09 2022,Jun 09 2023,Oct 24 2013,,,
Prince George's,136329,Family Childcare,Wanda Long,Clinton,20735,Yes,1,Active,1,2,Nov 28 2022,Nov 28 2023,Aug 19 2016,,,No Additional Staff
Calvert,136145,Family Childcare,Angela Buckmaster,Chesapeake Beach,20732,Yes,1,Active,1,2,Jun 22 2022,Jun 22 2023,Jan 17 2015,,,No Additional Staff
Baltimore City,13611,Center,Wee Pals,Baltimore,21216,Yes,1,Active,1,3,Aug 19 2022,Aug 19 2023,Jan 27 2014,,,
Baltimore City,13609,Center,The New Rogers Ave Day Nursery,Baltimore,21215,Yes,1,Active,1,3,Nov 08 2022,Nov 08 2023,Jul 01 2013,,,
Calvert,136008,Center,Ms. Bev's Place,Dunkirk,20754,Yes,1,Active,1,3,Aug 17 2022,Aug 17 2023,Jul 03 2013,,,
Howard,135988,Family Childcare,Rashida Iqbal-Vohra,Columbia,21045,Yes,1,Active,1,2,Aug 24 2022,Aug 24 2023,Dec 22 2014,,,
Baltimore,135972,Family Childcare,Shawn Scott,Pikesville,21208,Yes,1,Active,1,2,Oct 10 2022,Oct 10 2023,May 01 2015,,,
Baltimore City,135952,Family Childcare,Dolly Bailey,Baltimore,21216,Yes,3,Active,3,2,Nov 03 2022,Nov 03 2023,Jan 27 2014,,,No Additional Staff
Montgomery,135772,Family Childcare,Farida Din,Germantown,20874,Yes,0,Inactive,1,2,Jul 14 2020,Jun 15 2022,May 29 2015,,,
Saint Mary's,135770,Center,Mount Zion United Methodist Church Preschool,Mechanicsville,20659,Yes,1,Active,1,3,Nov 17 2022,Nov 17 2023,Nov 08 2013,,,
Prince George's,135765,Center,Even Start Early Learning Center,Bladensburg,20710,Yes,0,Inactive,3,3,Sep 01 2021,Sep 01 2022,Jul 01 2013,,,
Baltimore City,135719,Family Childcare,Mary Jones-Boyd,Baltimore,21213,Yes,1,Active,1,2,Sep 02 2022,Sep 02 2023,Dec 02 2013,,,
Harford,135714,Family Childcare,Monica Rose,Abingdon,21009,Yes,1,Active,1,2,Aug 26 2022,Aug 26 2023,Oct 24 2013,,,
Wicomico,135695,Center,Corner Campus,Salisbury,21801,Yes,4,Active,4,3,Nov 21 2022,Nov 21 2023,Oct 11 2013,Health and Wellness  | Accredited Program,,MSDE
Montgomery,135576,Center,Kidsco Inc. @ Lois P. Rockwell Elementary,Damascus,20872,Yes,3,Active,3,2,Nov 03 2022,Nov 03 2023,Mar 06 2015,,,
Howard,135545,Center,Cradlerock Children's Center,Columbia,21045,Yes,5,Active,5,3,Feb 14 2022,Feb 14 2023,Nov 08 2013,,,MSDE
Anne Arundel,256343,Family Childcare,Stephanie Maranto,Millersville,21108,Yes,2,Active,2,2,Feb 03 2022,Feb 03 2023,Feb 20 2015,,,No Additional Staff
Montgomery,135486,Center,Good Shepherd Lutheran PreSchool,Gaithersburg,20877,Yes,5,Active,5,3,Jun 09 2022,Jun 09 2023,Dec 21 2012,Accredited Program 2023-04-30,Maryland Accreditation (MSDE) 2023-04-30,MSDE
Anne Arundel,135471,Center,Mayo Elementary School Age Child Care,Edgewater,21037,Yes,3,Active,3,2,Feb 22 2022,Feb 22 2023,Mar 11 2014,Health and Wellness,,
Charles,135429,Center,North Point Early Childhood Training Program,Waldorf,20603,Yes,2,Active,2,3,Aug 25 2022,Aug 25 2023,May 29 2015,,,
Anne Arundel,135411,Family Childcare,Frances Griffiths,Annapolis,21409,Yes,3,Active,3,2,Jul 11 2022,Jul 11 2023,Jul 28 2014,,,No Additional Staff
Wicomico,135406,Family Childcare,Cherry Conley,Salisbury,21801,Yes,3,Active,3,2,May 02 2022,May 02 2023,Aug 22 2013,,,NAFCC  | No Additional Staff
Howard,135387,Family Childcare,Angela Lamberti,Columbia,21045,Yes,2,Active,2,2,Oct 06 2022,Oct 06 2023,Jul 01 2013,,,No Additional Staff
Howard,135382,Family Childcare,Evgeniya Nemcheva,Columbia,21044,Yes,1,Active,1,2,Jun 17 2022,Jun 17 2023,Sep 18 2015,,,
Prince George's,135366,Family Childcare,LaTanya Booker,Landover,20785,Yes,1,Active,1,2,Jun 22 2022,Jun 22 2023,Oct 03 2014,,,
