County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways
Prince George's,88790,Family Childcare,Cecelia Curtis,Lanham,20706,Yes,1,Active,1,2,May 26 2022,May 26 2023,May 13 2015,,,
Washington,88731,Center,Good Shepherd Preschool,Hancock,21750,Yes,3,Active,3,3,May 02 2022,May 02 2023,Nov 27 2012,Health and Wellness  | Eco-Friendly Program 2023-06-01,,
Dorchester,258163,Large Family Childcare,Diana Cephas,Cambridge,21613,Yes,3,Active,3,2,Aug 22 2022,Aug 22 2023,Nov 08 2013,,,No Additional Staff
Anne Arundel,88294,Center,Learning Tree Child Development Center of Annapolis,Annapolis,21401,Yes,3,Active,3,3,Jun 30 2022,Jun 30 2023,Dec 04 2012,,,National Association for the Education of Young Children (NAEYC)
Baltimore City,88021,Family Childcare,Vernice Kee-Davis,Baltimore,21229,Yes,3,Active,3,2,Dec 16 2022,Dec 16 2023,Jul 01 2013,,,NAFCC  | No Additional Staff
Prince George's,88017,Center,Kettering/Largo Community Center,Upper Marlboro,20774,Yes,1,Active,1,3,Jun 17 2022,Jun 17 2023,Jun 26 2015,,,
Queen Anne's,87851,Family Childcare,Colleen Moore,Chester,21619,Yes,5,Active,5,2,Dec 13 2022,Dec 13 2023,Nov 27 2012,Accredited Program 2025-11-01,National Association for Family Child Care (NAFCC) 2023-01-31,NAFCC  | No Additional Staff  | NAFCC - National Association for Family Child Care 2025-11-01
Baltimore,87616,Family Childcare,Tina Spraker,Baltimore,21220,Yes,1,Active,1,2,Jul 08 2022,Jul 08 2023,Feb 10 2014,,,
Montgomery,87182,Family Childcare,Effat Hormozi,Germantown,20874,Yes,1,Active,1,2,Nov 14 2022,Nov 14 2023,Jul 22 2016,,,
Frederick,87104,Family Childcare,Betty Sanders,Frederick,21702,Yes,1,Active,1,2,Jul 28 2022,Jul 28 2023,Oct 20 2014,,,
Baltimore City,86362,Family Childcare,Dorothy Foster,Baltimore,21215,Yes,1,Active,1,2,May 26 2022,May 26 2023,Sep 28 2013,,,No Additional Staff
Frederick,86351,Family Childcare,Gustina Houser,Frederick,21703,Yes,3,Active,3,2,Sep 08 2022,Sep 08 2023,Jul 28 2014,,,No Additional Staff
Anne Arundel,85850,LOC,Galilee Lutheran Preschool,Pasadena,21122,Yes,2,Active,2,3,Nov 08 2022,Nov 08 2023,Oct 04 2018,,,
Saint Mary's,85638,Family Childcare,Elizabeth Lawson,Mechanicsville,20659,Yes,1,Active,1,2,Jan 21 2022,Jan 21 2023,Aug 09 2013,,,No Additional Staff
Washington,85477,Family Childcare,Karen Burgan,Smithsburg,21783,Yes,1,Active,1,2,Sep 06 2022,Sep 06 2023,Jun 12 2015,,,
Baltimore City,85394,Family Childcare,Yolanda Holland,Baltimore,21239,Yes,1,Active,1,2,Sep 06 2022,Sep 06 2023,Dec 16 2013,,,No Additional Staff
Baltimore,85297,Family Childcare,Matilda Webb,Baltimore,21222,Yes,3,Active,3,2,Jun 23 2022,Jun 23 2023,Oct 24 2013,,,No Additional Staff
Anne Arundel,85080,Center,KinderCare 301543,Laurel,20724,Yes,3,Active,3,3,Feb 24 2022,Feb 24 2023,Sep 28 2013,Accredited Program 2023-12-01,National Association for the Education of Young Children (NAEYC) 2023-12-01,National Association for the Education of Young Children (NAEYC)
Carroll,84940,Center,Celebree Learning Center-Westminster,Westminster,21158,Yes,5,Active,5,3,Jun 21 2022,Jun 21 2023,Mar 06 2015,,,
