County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Baltimore,114845,Registered Family Home,Earllen Rowe,Baltimore,21207,Yes,1,Yes,1,No,2,Dec 17 2018,Dec 16 2020,0,,,,
Montgomery,255289,Registered Family Home,Sherry Lee,Germantown,20874,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 25 2020,0,,,,
Washington,114771,Center,YMCA Williamsport Before/After,Williamsport,21795,Yes,2,Yes,2,Yes,1,Oct 25 2018,Sep 12 2020,0,,,,
Montgomery,114601,Registered Family Home,Wanda Person,Silver Spring,20906,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 11 2020,0,,,,
Howard,114504,Center,Hilltop Child Care Center,Clarksville,21029,Yes,5,Yes,5,Yes,3,Nov 08 2019,Dec 05 2020,0,,,,MSDE
Montgomery,114499,Registered Family Home,Maria Payso,Montgomery Village,20886,Yes,5,Yes,5,Yes,2,Oct 25 2018,Jun 13 2020,0,,Accredited Program,,NAFCC
Baltimore,114377,Registered Family Home,Gwendolyn McLaughlin,Baltimore,21234,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 01 2020,0,,,,
Baltimore City,114370,Registered Family Home,Vanessa Harris,Baltimore,21214,Yes,1,Yes,1,No,2,Dec 05 2018,Nov 27 2020,0,,,,
Baltimore City,114326,Registered Family Home,Elsie Lyles,Baltimore,21239,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 13 2020,0,,,,
Frederick,114278,Center,Celebree Learning Center of Spring Ridge,Frederick,21701,Yes,3,Yes,3,No,3,Oct 25 2018,Apr 17 2020,0,,,,
Baltimore City,114261,Registered Family Home,Sharon Smith,Baltimore,21215,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 09 2020,0,,,,
Prince George's,114093,Registered Family Home,Calaura Christian,Lanham,20706,Yes,1,Yes,1,No,2,Oct 25 2018,Jun 04 2020,0,,,,
Charles,113976,Registered Family Home,Pamela Lee,Waldorf,20602,Yes,1,Yes,1,Yes,2,Oct 25 2018,Aug 12 2020,0,,,,
Prince George's,113799,Registered Family Home,DaShanta Washington,Forestville,20747,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 21 2020,0,,,,
Prince George's,113794,Center,Milestones Enrichment Center,Laurel,20707,Yes,3,Yes,3,No,3,Oct 25 2018,May 28 2020,0,,,,
Frederick,113710,Registered Family Home,Valerie Lavala,Frederick,21702,Yes,2,Yes,2,No,2,Oct 25 2018,Feb 22 2020,0,,,,
Prince George's,113604,Registered Family Home,Cindy Robinson,Fort Washington,20744,Yes,1,Yes,1,No,2,Dec 20 2018,Oct 22 2020,0,,,,
Baltimore City,113577,Registered Family Home,Patricia Williams,Baltimore,21218,Yes,1,Yes,1,No,2,Dec 17 2018,Dec 17 2020,0,,,,
Baltimore City,113451,Center,Achievements @ Kennedy Kreiger,Baltimore,21211,Yes,5,Yes,5,Yes,3,Oct 25 2018,Mar 17 2020,0,,,,MSDE
Wicomico,113443,Center,Richard Hazel Youth Center,Salisbury,21801,Yes,1,Yes,1,Yes,1,Oct 25 2018,Feb 22 2020,0,,,,
Montgomery,113432,Registered Family Home,Rosa Rashid,Takoma Park,20912,Yes,5,Yes,5,Yes,2,Sep 20 2019,Sep 26 2020,0,,,,
Baltimore City,113283,Registered Family Home,Franasice McClain,Baltimore,21206,Yes,1,Yes,1,No,2,Oct 25 2018,Jan 25 2020,0,,,,
Anne Arundel,113168,Center,"Young School EEP, The",Gambrills,21054,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jun 03 2020,1,May 23 2019,,,MSDE
Baltimore,113127,Registered Family Home,Nichelle Pratt,Baltimore,21208,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 23 2020,0,,,,
Montgomery,112968,Registered Family Home,Maria Santos,Silver Spring,20906,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 03 2020,0,,,,
Dorchester,112963,Registered Family Home,Tammy Washington,Cambridge,21613,Yes,3,Yes,3,Yes,2,Oct 25 2018,Jun 13 2020,0,,,,
Anne Arundel,112960,Registered Family Home,Leslie Pinkney,Annapolis,21401,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 10 2020,0,,,,
Carroll,112905,Center,Grace United Learning Center of Taneytown,Taneytown,21787,Yes,5,Yes,5,Yes,3,Oct 25 2018,Jan 14 2020,0,,,,MSDE
Prince George's,112694,Center,Dreams and Visions Learning Center,Landover,20785,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 16 2020,0,,,,
Anne Arundel,112693,Registered Family Home,Hazel Shinker,Deale,20751,Yes,1,Yes,1,Yes,2,Oct 25 2018,Oct 06 2020,0,,,,
Washington,112656,Registered Family Home,Peggy Anderson,Hagerstown,21740,Yes,1,Yes,1,No,2,Dec 05 2018,Oct 29 2020,0,,,,
Baltimore City,112545,Registered Family Home,Darlene McCoy,Baltimore,21215,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 29 2020,0,,,,
Harford,112331,Registered Family Home,Karen Coonan,Kingsville,21087,Yes,1,Yes,1,No,2,Dec 04 2018,Nov 26 2020,0,,,,
Dorchester,112325,Registered Family Home,Hope Roberts,Hurlock,21643,Yes,1,Yes,1,Yes,2,Oct 25 2018,Mar 16 2020,0,,,,
Prince George's,112138,Registered Family Home,Ruthena Dorsey,Forestville,20747,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 18 2020,0,,,,
Charles,112072,Registered Family Home,Cho Marie Barnes,Waldorf,20602,Yes,1,Yes,1,No,2,Oct 25 2018,Jul 29 2020,0,,,,
Prince George's,112026,Registered Family Home,Pearlie Boykin,Forestville,20747,Yes,1,Yes,1,No,2,Nov 28 2018,Nov 22 2020,0,,,,
Baltimore City,111985,Center,One Step Up Inc.,Baltimore,21216,Yes,2,Yes,2,No,3,Apr 30 2019,Aug 28 2020,0,,,,
Calvert,111942,Registered Family Home,Christine Caffey,Prince Frederick,20678,Yes,1,Yes,1,No,2,Oct 25 2018,May 09 2020,0,,,,
Montgomery,111809,Registered Family Home,Hilda Pelaez,Gaithersburg,20877,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 10 2020,0,,,,
Montgomery,111806,Registered Family Home,Nagat Hamed,Gaithersburg,20879,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 01 2020,0,,,,
Baltimore,111747,Registered Family Home,Audrey McDermott,Baltimore,21221,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 22 2020,0,,,,
Baltimore City,111643,Center,Fernandas Child Care Devp. Cen,Baltimore,21218,Yes,1,Yes,1,Yes,3,Oct 25 2018,Sep 23 2020,0,,,,MSDE
Prince George's,111586,Registered Family Home,Rachel Smith,Accokeek,20607,Yes,1,Yes,1,No,2,Oct 25 2018,Apr 28 2020,0,,,,
Montgomery,111552,Registered Family Home,Arjumand Zubairi,Spencerville,20868,Yes,5,Yes,5,Yes,2,Nov 30 2018,Sep 29 2020,0,,,National Association for Family Child Care (NAFCC) 2020-11-15,NAFCC
Baltimore City,111115,Registered Family Home,Darlene Abraham,Baltimore,21228,Yes,3,Yes,3,No,2,Oct 25 2018,Jun 05 2020,0,,,,
Prince George's,255924,Registered Family Home,Elaine Smith,Upper Marlboro,20774,Yes,1,Yes,1,No,2,Dec 05 2018,Dec 30 2020,0,,,,
Montgomery,111044,Registered Family Home,Jenny De La Oliva,Rockville,20853,Yes,5,Yes,5,Yes,2,Feb 07 2019,Dec 26 2020,0,,Health and Wellness  | Quality Business Practices  | Accredited Program,,NAFCC
Prince George's,110959,Center,Blar-ney Child Development,Forestville,20747,Yes,2,Yes,2,Yes,3,Oct 25 2018,May 13 2020,0,,,,
Garrett,4-Nov,Public Pre-K,Rt. 40 Elementary School,Frostburg,21532,Yes,5,Yes,5,Yes,1,Oct 25 2018,Sep 23 2020,0,,,,MSDE
Garrett,11-1710,Public Pre-K,Yough Glades Elementary,Oakland,21550,Yes,5,Yes,5,Yes,1,Oct 25 2018,Apr 07 2020,0,,,,MSDE
Garrett,11-1707,Public Pre-K,Broad Ford Elementary,Oakland,21550,Yes,5,Yes,5,Yes,1,Oct 25 2018,Apr 30 2020,0,,,,MSDE
Montgomery,110673,Registered Family Home,Santos Gonzalez,Silver Spring,20906,Yes,5,Yes,5,Yes,2,Oct 25 2018,Apr 17 2020,0,,,,NAFCC
Prince George's,110595,Registered Family Home,Deanna Howell,District Heights,20747,Yes,1,Yes,1,No,2,Jan 02 2019,Dec 15 2020,0,,,,
Prince George's,110570,Center,Kiddies Kollege Christian Center,Laurel,20708,Yes,2,Yes,2,Yes,3,Oct 25 2018,Mar 21 2020,0,,,,
Garrett,11-1501,Public Pre-K,AccidentPKK,Accident,21520,Yes,5,Yes,5,Yes,1,Oct 25 2018,May 14 2020,0,,,,MSDE
Washington,110336,Registered Family Home,Angela Covington,Hagerstown,21740,Yes,3,Yes,3,Yes,2,Oct 25 2018,Sep 24 2020,0,,,,
Garrett,11-1301,Public Pre-K,Grantsville Elementary Pre-Kindergarten and Kindergarten,Grantsville,21536,Yes,5,Yes,5,Yes,1,Oct 25 2018,Jan 25 2020,0,,,,MSDE
Garrett,11-1202,Public Pre-K,Friendsville Elementary School,Friendsville,21531,Yes,5,Yes,5,Yes,1,Oct 25 2018,Jan 31 2020,0,,,,MSDE
Baltimore,110186,Registered Family Home,Pamela Funderburk,Baltimore,21244,Yes,5,Yes,5,Yes,2,Oct 25 2018,Apr 01 2020,0,,Quality Business Practices  | Health and Wellness  | Accredited Program,,NAFCC
Baltimore,110127,Registered Family Home,Latosha Jones,Owings Mills,21117,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 23 2020,0,,,,
Baltimore City,110083,Center,Oheb Shalom's Learning Ladder,Baltimore,21208,Yes,3,Yes,3,Yes,3,Oct 25 2018,Oct 02 2020,0,,,,
Prince George's,110018,Center,Birchwood City Recreation Center,Oxon Hill,20745,Yes,1,Yes,1,No,1,Oct 25 2018,Feb 22 2020,0,,,,
Prince George's,110010,Center,Agape Early Childhood Learning Development Center,Brentwood,20722,Yes,1,Yes,1,Yes,3,Oct 25 2018,Mar 12 2020,0,,,,
Howard,109903,Center,The Young School Early Education Program,Columbia,21045,Yes,3,Yes,3,Yes,3,Oct 25 2018,May 07 2020,0,,,,MSDE
Garrett,109780,Center,Overlook Child Development Ctr,Oakland,21550,Yes,5,Yes,5,No,3,Feb 08 2019,Apr 15 2020,0,,,,
Baltimore City,109771,Center,Milk and Honey Child Care Services,Baltimore,21229,Yes,3,Yes,3,No,3,Oct 25 2018,Aug 18 2020,0,,,,
Harford,109709,Registered Family Home,Barbara Smith,Jarrettsville,21084,Yes,1,Yes,1,Yes,2,Oct 25 2018,Sep 24 2020,0,,,,
Baltimore,109669,Registered Family Home,Wanda Johnson,Baltimore,21206,Yes,1,Yes,1,Yes,2,Oct 25 2018,Jul 18 2020,0,,,,
Baltimore City,109627,Registered Family Home,Belinda Mercer,Baltimore,21215,Yes,1,Yes,1,No,2,Oct 25 2018,Feb 25 2020,0,,,,
