County,License Number,MSDE Program Type,Program Name,City Name,State Name,Zip Code,Participation Status,Draft Rating,Has Program Published,Published Rating,Has an Accreditation,Published Rubric Version,Date Published,Expiration Date,Total TAS Requests,Most Recent TAS request,Achievements,Accreditations,Alternative Pathways
Montgomery,160982,Registered Family Home,Cindy Aguilar,Silver Spring,Maryland,20902,Yes,0,Yes,5,Yes,2,Oct 25 2018,Aug 01 2020,0,,Accredited Program,,NAFCC
Anne Arundel,160973,Registered Family Home,Ruth Olatunji,Hanover,Maryland,21076,Yes,3,Yes,3,No,2,Mar 12 2019,Aug 28 2020,1,Aug 07 2019,,,
Queen Anne's,160958,Center,The Kinder Garden LLC,Stevensville,Maryland,21666,Yes,2,Yes,2,Yes,3,Oct 25 2018,Aug 28 2020,0,,,,
Prince George's,160955,Center,Holding Hands Daycare Center,Laurel,Maryland,20707,Yes,1,Yes,1,Yes,3,Dec 14 2018,Nov 26 2020,0,,,,
Prince George's,160954,Registered Family Home,Janet Caldwell,Bowie,Maryland,20720,Yes,1,Yes,1,No,2,Oct 25 2018,Mar 24 2020,0,,,,
Washington,160948,Registered Family Home,Jasmel Morales-Rivas,Hagerstown,Maryland,21740,Yes,3,Yes,3,Yes,2,Oct 25 2018,May 16 2020,0,,,,
Dorchester,160943,Registered Family Home,Yvonne Sharp,Cambridge,Maryland,21613,Yes,3,Yes,3,No,2,Oct 25 2018,May 15 2020,0,,,,
Baltimore,160941,Registered Family Home,Petrina Thomas,Rosedale,Maryland,21237,Yes,3,Yes,3,No,2,Oct 25 2018,Aug 20 2020,0,,,,
Baltimore,160929,Registered Family Home,Kimberly Thomas,Randallstown,Maryland,21133,Yes,1,Yes,1,No,2,Dec 11 2018,Dec 04 2020,0,,,,
Baltimore,255185,Registered Family Home,Ebony Wilson,Randallstown,Maryland,21133,Yes,1,Yes,1,No,2,Oct 25 2018,Nov 01 2020,0,,,,
Baltimore City,160911,Center,Building Blocks Learning and Development Center,Baltimore,Maryland,21225,Yes,1,Yes,1,Yes,3,Oct 25 2018,Jun 27 2020,0,,,,
Queen Anne's,160910,Registered Family Home,Candace Frazier,Grasonville,Maryland,21638,Yes,1,Yes,1,No,2,Oct 25 2018,Aug 15 2020,0,,,,
Baltimore,160908,Center,Amped Up Family Amphitheatre,Middle River,Maryland,21220,Yes,1,Yes,1,No,1,Oct 25 2018,Jan 05 2020,0,,,,
Garrett,160904,Center,Sunny Days Route 40,Frostburg,Maryland,21532,Yes,1,Yes,1,No,3,Oct 25 2018,Jan 15 2020,0,,,,
Garrett,160903,Center,Sunny Days Friendsville,Friendsville,Maryland,21531,Yes,3,Yes,3,Yes,3,Oct 25 2018,Apr 15 2020,0,,,,MSDE
